CandidateId,RuleSource,SymbolFamilyKind,DoorKind,WidthMm,WidthSource,LeftEdgeMm,RightEdgeMm,OpeningWidthMm,ArcRadiusMm,ArcSweepDeg,DistToWallMm,MatchedWallId,CenterMm,HingeMm,ArcMidMm,WallDirHint,LeafHingeMm,LeafLatchMm,DoorLeafBaseStartMm,DoorLeafBaseEndMm,DoorLeafBaseCenterMm,OpeningCenterMm,VirtualOpeningBaseStartMm,VirtualOpeningBaseEndMm,VirtualOpeningBaseCenterMm,VirtualOpeningWidthMm,PreferVirtualOpeningHost,PlacementSource,FinalPlacementMm,FinalWidthMmApplied,FinalHeightMmApplied,DeltaAlongWallMm,LeafLineSegmentId,ProjectedMm,SegmentIds,UnmatchedReason
11,"R3","StandardArcDoor","Single",765.000,"FreeEndOpening",,,0.000,810.000,90.000,32.682,1589171,"(55202.3 34649.9 0.0)","(55202.3 35077.4 0.0)","(54629.6 34504.7 0.0)",,"(54392.3 35032.4 0.0)","(55202.3 35032.4 0.0)",,,,"(55202.3 34649.9 0.0)",,,,0.000,false,,,0.000,0.000,5554.949,661,"(55235.0 34649.9 0.0)","655|661",
12,"R3","StandardArcDoor","Single",765.000,"FreeEndOpening",,,0.000,810.000,90.000,32.551,1589178,"(52289.8 31712.4 0.0)","(52717.3 31712.4 0.0)","(52144.6 31139.7 0.0)",,"(52672.3 30902.4 0.0)","(52672.3 31712.4 0.0)",,,,"(52289.8 31712.4 0.0)",,,,0.000,false,,,0.000,0.000,2249.818,674,"(52289.8 31745.0 0.0)","668|674",
13,"R3","StandardArcDoor","Single",765.000,"FreeEndOpening",,,0.000,810.000,90.000,32.449,1589179,"(52289.8 34127.4 0.0)","(52717.3 34127.4 0.0)","(52144.6 34700.2 0.0)",,"(52672.3 34937.4 0.0)","(52672.3 34127.4 0.0)",,,,"(52289.8 34127.4 0.0)",,,,0.000,false,,,0.000,0.000,2249.818,687,"(52289.8 34095.0 0.0)","681|687",
14,"R3","StandardArcDoor","Single",765.000,"FreeEndOpening",,,0.000,810.000,90.000,32.449,1589184,"(53549.8 35312.4 0.0)","(53122.3 35312.4 0.0)","(53695.1 35885.2 0.0)",,"(53167.3 36122.4 0.0)","(53167.3 35312.4 0.0)",,,,"(53549.8 35312.4 0.0)",,,,0.000,false,,,0.000,0.000,474.818,700,"(53549.8 35280.0 0.0)","694|700",
15,"R3","StandardArcDoor","Single",765.000,"FreeEndOpening",,,0.000,810.000,90.000,33.311,1589168,"(58603.3 32222.4 0.0)","(58603.3 32649.9 0.0)","(59176.1 32077.2 0.0)",,"(59413.3 32604.9 0.0)","(58603.3 32604.9 0.0)",,,,"(58603.3 32222.4 0.0)",,,,0.000,false,,,0.000,0.000,12642.449,731,"(58570.0 32222.4 0.0)","725|731",
16,"R3","StandardArcDoor","Single",765.000,"FreeEndOpening",,,0.000,810.000,90.000,32.682,1589169,"(55202.3 28622.4 0.0)","(55202.3 29049.9 0.0)","(54629.6 28477.2 0.0)",,"(54392.3 29004.9 0.0)","(55202.3 29004.9 0.0)",,,,"(55202.3 28622.4 0.0)",,,,0.000,false,,,0.000,0.000,12527.449,744,"(55235.0 28622.4 0.0)","738|744",
17,"R3","StandardArcDoor","Single",765.000,"FreeEndOpening",,,0.000,810.000,90.000,33.311,1589182,"(58603.3 33467.4 0.0)","(58603.3 33039.9 0.0)","(59176.1 33612.7 0.0)",,"(59413.3 33084.9 0.0)","(58603.3 33084.9 0.0)",,,,"(58603.3 33467.4 0.0)",,,,0.000,false,,,0.000,0.000,472.449,757,"(58570.0 33467.4 0.0)","751|757",
18,"R3","StandardArcDoor","Single",595.000,"FreeEndOpening",,,0.000,630.000,90.000,30.051,1589149,"(52724.8 46474.9 0.0)","(53057.3 46474.9 0.0)","(52611.8 46029.5 0.0)",,"(53022.3 45844.9 0.0)","(53022.3 46474.9 0.0)",,,,"(52724.8 46474.9 0.0)",,,,0.000,false,,,0.000,0.000,659.818,812,"(52724.8 46505.0 0.0)","806|812",
19,"R3","StandardArcDoor","Single",807.500,"FreeEndOpening",,,0.000,855.000,90.000,45.051,1589151,"(58032.1 19514.9 0.0)","(57580.8 19514.9 0.0)","(58185.4 18910.4 0.0)",,"(57628.3 18659.9 0.0)","(57628.3 19514.9 0.0)",,,,"(58032.1 19514.9 0.0)",,,,0.000,false,,,0.000,0.000,507.061,825,"(58032.1 19560.0 0.0)","819|825",
20,"R3","StandardArcDoor","Single",850.000,"FreeEndOpening",,,0.000,900.000,90.000,24.949,1589212,"(50567.3 44794.9 0.0)","(50092.3 44794.9 0.0)","(50728.7 45431.3 0.0)",,"(50142.3 45694.9 0.0)","(50142.3 44794.9 0.0)",,,,"(50567.3 44794.9 0.0)",,,,0.000,false,,,0.000,0.000,527.318,838,"(50567.3 44770.0 0.0)","832|838",
21,"R3","StandardArcDoor","Single",765.000,"FreeEndOpening",,,0.000,810.000,90.000,33.311,1589172,"(58603.3 39582.4 0.0)","(58603.3 39154.9 0.0)","(59176.1 39727.7 0.0)",,"(59413.3 39199.9 0.0)","(58603.3 39199.9 0.0)",,,,"(58603.3 39582.4 0.0)",,,,0.000,false,,,0.000,0.000,472.449,2199,"(58570.0 39582.4 0.0)","2222|2199",
22,"R3","StandardArcDoor","Single",595.000,"FreeEndOpening",,,0.000,630.000,90.000,30.051,1589150,"(51699.8 46474.9 0.0)","(52032.3 46474.9 0.0)","(51586.8 46029.5 0.0)",,"(51997.3 45844.9 0.0)","(51997.3 46474.9 0.0)",,,,"(51699.8 46474.9 0.0)",,,,0.000,false,,,0.000,0.000,659.818,2211,"(51699.8 46505.0 0.0)","2223|2211",
23,"R3BD","MinimalDoubleArcDoorNoWallCrossing","Double",1387.500,"R3BDIndependentOpening","(57565.0 18552.3 0.0)","(57565.0 17164.8 0.0)",1387.500,701.051,89.412,0.000,,"(57565.0 17858.6 0.0)",,"(58064.3 17856.0 0.0)","(0.0000 -1.0000 0.0000)",,,,,,"(57565.0 17858.6 0.0)","(57565.0 18552.3 0.0)","(57565.0 17164.8 0.0)","(57565.0 17858.6 0.0)",1387.500,true,,,0.000,0.000,0.000,0,,"2162|2163|2165|2166|2167|2168|2164|2169|2219|2218|2170|2171|2177|2172|2173|2176|2174|2175","Distance or projection out of tolerance."
